timestamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller,gripper_base_to_gripper_left2,gripper_left3_to_gripper_left1,gripper_base_to_gripper_right3,gripper_base_to_gripper_right2,gripper_right3_to_gripper_right1
1788971736.7356942,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.7362094,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.7520566,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.7687862,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.7853856,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.8020885,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.8187902,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.83541,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.8521261,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
1788971736.8687248,-2.7243291697232053e-05,0.0007005746010690928,0.009372902102768421,-0.00035963658592663705,0.01616375893354416,-0.00013034537550993264,-0.0016414988785982132,-0.001592824817635119,0.0017254119738936424,-0.00045610294910147786,-0.0004481456126086414,0.00047981427633203566
